massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row778	222.9604	10.0	0.6947	-0.39369	"222.9604_10"
row779	480.3085	1.21	0.69487	0.39346	"480.3085_1.21"
row780	766.8606	9.94	0.6954	-0.39274	"766.8606_9.94"
row781	734.5523	4.2	0.69794	0.3893	"734.5523_4.2"
row782	1039.8149	9.94	0.69854	0.38847	"1039.8149_9.94"
row783	164.8365	0.51	0.69904	-0.3878	"164.8365_0.51"
row784	162.8399	0.51	0.70129	-0.38475	"162.8399_0.51"
row785	599.319	1.3	0.70153	-0.38443	"599.319_1.3"
row786	522.9141	9.94	0.70913	-0.37416	"522.9141_9.94"
row787	344.8409	0.54	0.70977	0.37329	"344.8409_0.54"
row788	949.8278	9.94	0.71431	-0.36718	"949.8278_9.94"
row789	868.8403	9.96	0.7156	-0.36544	"868.8403_9.96"
row790	85.0281	0.55	0.71868	-0.36131	"85.0281_0.55"
row791	527.3516	1.41	0.71994	-0.35961	"527.3516_1.41"
row792	785.5044	1.23	0.72165	0.35733	"785.5044_1.23"
row793	743.5409	4.73	0.72368	0.3546	"743.5409_4.73"
row794	446.6697	0.53	0.72473	0.3532	"446.6697_0.53"
row795	971.8271	9.93	0.72881	-0.34774	"971.8271_9.93"
row796	1127.7868	9.93	0.73074	0.34517	"1127.7868_9.93"
row797	490.8269	0.54	0.73287	-0.34232	"490.8269_0.54"
row798	94.9246	0.53	0.73373	-0.34117	"94.9246_0.53"
row799	278.8354	0.54	0.73913	-0.33399	"278.8354_0.54"
row800	542.3355	1.21	0.73921	-0.33389	"542.3355_1.21"
row801	863.5985	5.19	0.74199	-0.33019	"863.5985_5.19"
row802	346.8207	0.54	0.74682	0.32379	"346.8207_0.54"
row803	1154.7932	9.93	0.74868	-0.32132	"1154.7932_9.93"
row804	482.3112	1.21	0.74934	-0.32045	"482.3112_1.21"
row805	834.5646	4.76	0.75091	-0.31837	"834.5646_4.76"
row806	717.5263	5.18	0.75131	0.31784	"717.5263_5.18"
row807	564.5851	0.53	0.75213	0.31676	"564.5851_0.53"
row808	387.2006	0.63	0.75319	0.31536	"387.2006_0.63"
row809	875.5754	5.06	0.75597	-0.31169	"875.5754_5.06"
row810	1066.8139	9.93	0.75926	-0.30734	"1066.8139_9.93"
row811	906.5911	5.29	0.76048	-0.30573	"906.5911_5.29"
row812	1120.8012	9.94	0.76385	-0.3013	"1120.8012_9.94"
row813	220.8781	0.54	0.7676	-0.29638	"220.8781_0.54"
row814	552.7771	0.54	0.76803	0.2958	"552.7771_0.54"
row815	540.33	1.21	0.76932	-0.29412	"540.33_1.21"
row816	403.1988	0.61	0.76944	0.29396	"403.1988_0.61"
row817	798.4168	0.53	0.77518	0.28642	"798.4168_0.53"
row818	1195.7756	9.93	0.7793	0.28103	"1195.7756_9.93"
row819	1132.7961	9.93	0.78314	-0.27602	"1132.7961_9.93"
row820	759.5618	4.3	0.78358	-0.27544	"759.5618_4.3"
row821	733.5496	4.2	0.78477	0.27389	"733.5496_4.2"
row822	59.0134	0.56	0.78519	0.27335	"59.0134_0.56"
row823	609.5566	5.71	0.78538	-0.27309	"609.5566_5.71"
row824	301.2147	1.68	0.78545	0.27301	"301.2147_1.68"
row825	792.86	9.93	0.78926	-0.26803	"792.86_9.93"
row826	181.9756	9.94	0.79168	-0.26488	"181.9756_9.94"
row827	1031.8172	9.93	0.79225	-0.26414	"1031.8172_9.93"
row828	610.5596	5.71	0.79692	-0.25807	"610.5596_5.71"
row829	942.5558	5.05	0.80334	0.24973	"942.5558_5.05"
row830	1059.7994	9.94	0.80526	-0.24725	"1059.7994_9.94"
row831	415.2067	2.19	0.80657	-0.24555	"415.2067_2.19"
row832	940.5422	4.73	0.80683	-0.24521	"940.5422_4.73"
row833	860.5739	4.81	0.80737	-0.24451	"860.5739_4.81"
row834	736.5291	5.2	0.80831	-0.2433	"736.5291_5.2"
row835	671.4001	0.88	0.81374	0.23627	"671.4001_0.88"
row836	923.8234	9.93	0.81515	-0.23445	"923.8234_9.93"
row837	348.2214	2.19	0.81538	-0.23414	"348.2214_2.19"
row838	796.4191	0.53	0.81559	0.23387	"796.4191_0.53"
row839	1037.6699	1.21	0.81753	0.23137	"1037.6699_1.21"
row840	440.6852	0.53	0.82053	-0.2275	"440.6852_0.53"
row841	678.547	5.71	0.82316	0.22411	"678.547_5.71"
row842	705.5757	6.07	0.82351	-0.22365	"705.5757_6.07"
row843	800.4198	0.53	0.82585	-0.22064	"800.4198_0.53"
row844	541.3332	1.21	0.82631	-0.22006	"541.3332_1.21"
