massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row157	923.5822	5.11	8.684e-06	4.7058	"923.5822_5.11"
row158	110.983	4.56	8.8635e-06	-4.7006	"110.983_4.56"
row159	819.5925	5.25	9.3765e-06	-4.6864	"819.5925_5.25"
row160	297.2413	1.06	9.4599e-06	-4.6842	"297.2413_1.06"
row161	864.5762	4.8	1.1224e-05	-4.6408	"864.5762_4.8"
row162	132.0285	0.61	1.2135e-05	4.621	"132.0285_0.61"
row163	801.5476	4.33	1.3922e-05	-4.5859	"801.5476_4.33"
row164	728.5588	5.77	1.4392e-05	-4.5774	"728.5588_5.77"
row165	788.5438	4.48	1.4786e-05	-4.5705	"788.5438_4.48"
row166	1168.5156	4.84	1.5964e-05	-4.5508	"1168.5156_4.84"
row167	777.5476	4.62	1.6314e-05	-4.5452	"777.5476_4.62"
row168	230.0569	0.57	1.9236e-05	4.5028	"230.0569_0.57"
row169	812.5804	4.94	1.9735e-05	4.4961	"812.5804_4.94"
row170	776.5447	4.62	2.2235e-05	-4.4652	"776.5447_4.62"
row171	568.3614	1.72	2.6398e-05	-4.4205	"568.3614_1.72"
row172	887.5645	4.67	2.7541e-05	-4.4094	"887.5645_4.67"
row173	570.3671	1.72	2.7613e-05	-4.4088	"570.3671_1.72"
row174	533.2909	2.46	2.9638e-05	-4.3902	"533.2909_2.46"
row175	613.3328	0.98	3.6509e-05	4.3353	"613.3328_0.98"
row176	104.0336	0.56	4.3752e-05	4.2874	"104.0336_0.56"
row177	754.5738	5.85	4.4705e-05	-4.2817	"754.5738_5.85"
row178	987.5388	4.56	4.501e-05	4.2798	"987.5388_4.56"
row179	952.5461	4.95	4.6678e-05	-4.2702	"952.5461_4.95"
row180	986.5345	4.56	5.524e-05	4.2251	"986.5345_4.56"
row181	894.5477	4.66	5.8705e-05	4.2088	"894.5477_4.66"
row182	243.0555	0.54	6.5527e-05	4.1792	"243.0555_0.54"
row183	883.5396	4.47	7.0411e-05	4.1598	"883.5396_4.47"
row184	889.5698	4.66	7.4905e-05	-4.143	"889.5698_4.66"
row185	446.3754	4.07	7.5711e-05	-4.1401	"446.3754_4.07"
row186	569.3645	1.72	7.6029e-05	-4.1389	"569.3645_1.72"
row187	636.3489	1.72	8.2778e-05	-4.1158	"636.3489_1.72"
row188	746.5127	4.89	8.6662e-05	4.1033	"746.5127_4.89"
row189	508.3398	1.72	9.159e-05	-4.0882	"508.3398_1.72"
row190	1035.5571	5.18	0.00010421	-4.0528	"1035.5571_5.18"
row191	614.3438	1.08	0.00010842	4.0419	"614.3438_1.08"
row192	888.5687	4.66	0.00010914	-4.0401	"888.5687_4.66"
row193	1059.5573	5.1	0.00011304	4.0304	"1059.5573_5.1"
row194	991.5699	5.1	0.00012469	4.0033	"991.5699_5.1"
row195	839.5999	4.97	0.0001256	4.0013	"839.5999_4.97"
row196	747.5158	4.89	0.00013215	3.9872	"747.5158_4.89"
row197	1058.5545	5.1	0.0001512	3.9497	"1058.5545_5.1"
row198	612.3296	0.98	0.00015976	3.9342	"612.3296_0.98"
row199	526.3098	1.05	0.00016849	-3.9193	"526.3098_1.05"
row200	327.2318	1.96	0.00018364	3.8951	"327.2318_1.96"
row201	747.5657	4.47	0.00020123	3.8693	"747.5657_4.47"
row202	1091.725	1.71	0.00020272	-3.8672	"1091.725_1.71"
row203	465.3034	2.46	0.00020747	-3.8607	"465.3034_2.46"
row204	467.3056	2.46	0.00020758	-3.8605	"467.3056_2.46"
row205	739.5104	4.8	0.00021172	3.8549	"739.5104_4.8"
row206	749.5718	4.47	0.00021834	3.8462	"749.5718_4.47"
row207	834.6138	5.47	0.00022207	-3.8413	"834.6138_5.47"
row208	869.5375	4.33	0.0002312	-3.8299	"869.5375_4.33"
row209	1030.5226	4.66	0.00026325	3.7928	"1030.5226_4.66"
row210	1170.528	5.19	0.00027967	-3.7754	"1170.528_5.19"
row211	738.5075	4.8	0.00028903	3.766	"738.5075_4.8"
row212	680.3171	0.98	0.00031346	3.7426	"680.3171_0.98"
row213	588.33	1.01	0.000319	3.7375	"588.33_1.01"
row214	656.318	1.01	0.00035854	3.7036	"656.318_1.01"
row215	992.5818	5.28	0.00040745	-3.6663	"992.5818_5.28"
row216	571.3695	1.72	0.00041295	-3.6624	"571.3695_1.72"
row217	794.5629	5.09	0.00043298	3.6485	"794.5629_5.09"
row218	129.0502	0.57	0.00047053	3.624	"129.0502_0.57"
row219	970.5872	5.47	0.00048398	-3.6157	"970.5872_5.47"
row220	820.5763	5.18	0.00051092	-3.5997	"820.5763_5.18"
row221	926.5984	5.27	0.00051535	-3.5971	"926.5984_5.27"
row222	838.5958	4.97	0.0005253	3.5915	"838.5958_4.97"
row223	762.5602	5.21	0.00054974	3.578	"762.5602_5.21"
row224	565.3332	1.05	0.00058842	-3.5577	"565.3332_1.05"
row225	815.5531	4.47	0.00060437	3.5497	"815.5531_4.47"
row226	583.2553	1.81	0.0006587	3.5239	"583.2553_1.81"
row227	206.0063	0.61	0.00066735	3.52	"206.0063_0.61"
row228	824.5447	4.35	0.00066824	3.5196	"824.5447_4.35"
row229	868.5326	4.33	0.00068636	-3.5116	"868.5326_4.33"
row230	564.33	1.05	0.00069886	-3.5061	"564.33_1.05"
row231	900.585	5.17	0.00072552	-3.4948	"900.585_5.17"
row232	282.9607	0.57	0.00074278	-3.4877	"282.9607_0.57"
row233	328.2354	1.96	0.00075124	3.4843	"328.2354_1.96"
row234	102.9607	0.56	0.00086905	3.44	"102.9607_0.56"
row235	119.0336	0.56	0.0008872	3.4337	"119.0336_0.56"
row236	1092.7283	1.72	0.00089014	-3.4327	"1092.7283_1.72"
row237	748.5686	4.47	0.00098975	3.4002	"748.5686_4.47"
row238	963.5378	4.66	0.00099146	3.3997	"963.5378_4.66"
row239	162.0051	0.57	0.0010904	3.3704	"162.0051_0.57"
row240	633.3206	1.05	0.0011124	-3.3642	"633.3206_1.05"
row241	1060.5691	5.29	0.0011541	-3.3528	"1060.5691_5.29"
row242	114.056	0.57	0.0011775	-3.3465	"114.056_0.57"
row243	898.5791	5.17	0.0011927	-3.3426	"898.5791_5.17"
row244	1034.5536	5.18	0.0012135	-3.3372	"1034.5536_5.18"
row245	813.5837	4.94	0.0012362	3.3314	"813.5837_4.94"
row246	466.3066	2.46	0.0013281	-3.309	"466.3066_2.46"
row247	825.5478	4.35	0.0014545	3.2805	"825.5478_4.35"
row248	173.1046	0.59	0.0015	3.2708	"173.1046_0.59"
row249	465.2483	0.63	0.0015088	3.269	"465.2483_0.63"
row250	589.3333	1.01	0.0015161	3.2674	"589.3333_1.01"
row251	760.527	5.1	0.0015325	3.264	"760.527_5.1"
row252	361.9761	0.57	0.001578	-3.2548	"361.9761_0.57"
row253	632.317	1.05	0.0016962	-3.2319	"632.317_1.05"
row254	902.6027	5.47	0.0017229	-3.2269	"902.6027_5.47"
row255	590.3455	1.15	0.0018608	-3.2023	"590.3455_1.15"
row256	264.8931	0.58	0.001897	-3.1962	"264.8931_0.58"
row257	332.8951	0.56	0.0019533	-3.1868	"332.8951_0.56"
row258	638.3537	1.72	0.0020133	-3.1771	"638.3537_1.72"
row259	704.3357	1.72	0.0020239	-3.1754	"704.3357_1.72"
row260	1061.5721	5.29	0.002049	-3.1714	"1061.5721_5.29"
row261	101.023	0.56	0.002057	3.1702	"101.023_0.56"
row262	215.0346	0.53	0.0021208	3.1603	"215.0346_0.53"
row263	994.5836	5.27	0.0022782	-3.1372	"994.5836_5.27"
row264	1196.5436	5.29	0.0023675	-3.1247	"1196.5436_5.29"
row265	966.5665	5.17	0.0025205	-3.1043	"966.5665_5.17"
row266	906.5833	4.97	0.0025208	3.1042	"906.5833_4.97"
row267	1103.5443	5.18	0.002557	-3.0996	"1103.5443_5.18"
row268	554.3812	2.02	0.0025763	-3.0971	"554.3812_2.02"
row269	1190.4989	4.56	0.0025839	3.0962	"1190.4989_4.56"
row270	350.9523	0.57	0.002643	-3.0888	"350.9523_0.57"
row271	408.9023	0.56	0.0026737	-3.085	"408.9023_0.56"
row272	552.3651	1.95	0.00282	-3.0675	"552.3651_1.95"
row273	909.5491	4.39	0.0028316	-3.0661	"909.5491_4.39"
row274	830.5918	5.17	0.0028537	-3.0635	"830.5918_5.17"
row275	405.0003	0.57	0.002855	-3.0634	"405.0003_0.57"
row276	833.6102	5.46	0.0029172	-3.0563	"833.6102_5.46"
row277	157.0109	0.57	0.0029563	-3.0519	"157.0109_0.57"
row278	900.5946	5.46	0.0030231	-3.0445	"900.5946_5.46"
row279	717.5181	3.4	0.0030447	-3.0422	"717.5181_3.4"
row280	509.3426	1.72	0.0031566	-3.0302	"509.3426_1.72"
row281	1083.6636	1.05	0.0031896	-3.0267	"1083.6636_1.05"
row282	466.2517	0.63	0.0031937	3.0263	"466.2517_0.63"
row283	859.6153	5.27	0.0032352	-3.022	"859.6153_5.27"
row284	858.6122	5.27	0.0032654	-3.0189	"858.6122_5.27"
row285	504.3081	1.05	0.0033133	-3.0141	"504.3081_1.05"
row286	337.0121	0.57	0.0033307	-3.0123	"337.0121_0.57"
row287	831.5952	5.17	0.0033458	-3.0108	"831.5952_5.17"
row288	148.98	0.57	0.0033659	-3.0088	"148.98_0.57"
row289	835.6173	5.47	0.0034867	-2.997	"835.6173_5.47"
row290	880.607	5.29	0.0036062	2.9858	"880.607_5.29"
row291	1128.5552	5.29	0.0036237	-2.9841	"1128.5552_5.29"
row292	806.5537	4.74	0.0037024	2.9769	"806.5537_4.74"
row293	892.5318	4.35	0.0037119	2.9761	"892.5318_4.35"
row294	394.9735	0.57	0.0040441	-2.9472	"394.9735_0.57"
row295	340.9215	0.56	0.0042348	-2.9316	"340.9215_0.56"
row296	201.038	0.58	0.0042577	-2.9297	"201.038_0.58"
row297	176.022	0.56	0.0046245	2.9016	"176.022_0.56"
row298	342.9139	0.56	0.0046323	-2.901	"342.9139_0.56"
row299	847.5493	4.99	0.0046476	2.8999	"847.5493_4.99"
row300	158.0151	0.57	0.0046481	-2.8998	"158.0151_0.57"
row301	813.5369	4.02	0.0047716	2.8909	"813.5369_4.02"
row302	146.9822	0.57	0.0048228	-2.8872	"146.9822_0.57"
row303	1102.5422	5.18	0.0048816	-2.883	"1102.5422_5.18"
row304	967.5695	5.17	0.004946	-2.8785	"967.5695_5.17"
row305	117.0525	0.6	0.0051455	2.8649	"117.0525_0.6"
row306	476.2772	1.1	0.0053007	2.8547	"476.2772_1.1"
row307	554.9081	0.57	0.0054669	-2.844	"554.9081_0.57"
row308	923.6466	5.46	0.0055421	2.8392	"923.6466_5.46"
row309	381.0352	0.58	0.0057987	-2.8235	"381.0352_0.58"
row310	745.55	4.02	0.0059763	2.813	"745.55_4.02"
row311	322.8586	0.56	0.006519	-2.7825	"322.8586_0.56"
row312	202.0421	0.58	0.0065683	-2.7799	"202.0421_0.58"
row313	837.584	4.88	0.0066097	2.7777	"837.584_4.88"
row314	977.596	5.36	0.0067677	2.7693	"977.596_5.36"
row315	853.5791	4.7	0.0067979	2.7678	"853.5791_4.7"
row316	901.5886	5.17	0.0070175	-2.7565	"901.5886_5.17"
row317	867.6316	5.37	0.0070314	2.7558	"867.6316_5.37"
row318	862.5955	4.87	0.0070937	2.7527	"862.5955_4.87"
row319	584.2582	1.81	0.0072003	2.7474	"584.2582_1.81"
row320	591.3485	1.16	0.0072767	-2.7437	"591.3485_1.16"
row321	832.598	5.16	0.00733	-2.7411	"832.598_5.16"
row322	782.4952	4.85	0.007448	2.7354	"782.4952_4.85"
row323	907.5874	4.97	0.0078812	2.7152	"907.5874_4.97"
row324	89.0236	0.58	0.0079067	-2.7141	"89.0236_0.58"
row325	278.0278	0.61	0.0079254	-2.7132	"278.0278_0.61"
row326	154.9729	0.43	0.0079494	-2.7122	"154.9729_0.43"
row327	527.3124	1.05	0.0080647	-2.707	"527.3124_1.05"
row328	865.5793	4.8	0.0086788	-2.6806	"865.5793_4.8"
row329	856.6072	5.28	0.0091738	-2.6605	"856.6072_5.28"
row330	832.6071	5.46	0.0092772	-2.6565	"832.6071_5.46"
row331	899.5823	5.17	0.0095727	-2.6451	"899.5823_5.17"
row332	280.0363	0.6	0.0097406	-2.6387	"280.0363_0.6"
row333	885.6187	5.39	0.010087	-2.626	"885.6187_5.39"
row334	773.5802	4.57	0.010114	2.625	"773.5802_4.57"
row335	772.5264	4.95	0.010141	2.624	"772.5264_4.95"
row336	836.5808	4.88	0.011107	2.5906	"836.5808_4.88"
row337	172.0293	0.57	0.01165	2.5729	"172.0293_0.57"
row338	1009.5431	5.05	0.011995	-2.5621	"1009.5431_5.05"
row339	787.522	3.92	0.012931	-2.534	"787.522_3.92"
row340	857.6102	5.28	0.013071	-2.5299	"857.6102_5.28"
row341	881.6107	5.29	0.013256	2.5247	"881.6107_5.29"
row342	224.9983	0.59	0.013273	-2.5242	"224.9983_0.59"
row343	505.3103	1.05	0.013324	-2.5227	"505.3103_1.05"
row344	925.5979	5.28	0.013751	-2.5109	"925.5979_5.28"
row345	993.5854	5.28	0.013913	-2.5065	"993.5854_5.28"
row346	953.5371	4.49	0.013968	-2.505	"953.5371_4.49"
row347	301.9887	0.63	0.014596	2.4883	"301.9887_0.63"
row348	688.5468	4.47	0.014688	2.4859	"688.5468_4.47"
row349	258.0219	0.61	0.014857	-2.4816	"258.0219_0.61"
row350	816.5553	4.47	0.015695	2.4606	"816.5553_4.47"
row351	188.0817	0.59	0.01571	-2.4603	"188.0817_0.59"
row352	360.9757	0.57	0.015969	-2.454	"360.9757_0.57"
row353	637.3521	1.72	0.01601	-2.453	"637.3521_1.72"
row354	910.5534	4.39	0.016333	-2.4454	"910.5534_4.39"
row355	90.0267	0.58	0.016369	-2.4445	"90.0267_0.58"
row356	855.6583	5.46	0.016481	2.4419	"855.6583_5.46"
row357	885.5502	4.49	0.016653	-2.4379	"885.5502_4.49"
row358	764.5786	5.25	0.016767	2.4353	"764.5786_5.25"
row359	924.5945	5.28	0.017127	-2.4271	"924.5945_5.28"
row360	71.0133	0.56	0.017191	2.4256	"71.0133_0.56"
row361	764.5231	4.85	0.017854	2.411	"764.5231_4.85"
row362	886.5534	4.49	0.01839	-2.3995	"886.5534_4.49"
row363	110.9833	0.43	0.01944	-2.3778	"110.9833_0.43"
row364	1015.5695	5.01	0.019794	2.3707	"1015.5695_5.01"
row365	887.5561	4.48	0.019927	-2.3681	"887.5561_4.48"
row366	841.6149	5.36	0.020005	2.3666	"841.6149_5.36"
row367	721.5399	3.91	0.020213	-2.3625	"721.5399_3.91"
row368	716.5137	4.85	0.020288	2.3611	"716.5137_4.85"
row369	840.6118	5.35	0.020742	2.3523	"840.6118_5.35"
row370	954.5402	4.49	0.021919	-2.3305	"954.5402_4.49"
row371	241.0652	0.58	0.022199	2.3254	"241.0652_0.58"
row372	751.547	5.42	0.02234	-2.3229	"751.547_5.42"
row373	840.5813	4.9	0.022952	2.3122	"840.5813_4.9"
row374	909.6105	5.37	0.023231	2.3073	"909.6105_5.37"
row375	249.9634	9.94	0.023328	-2.3057	"249.9634_9.94"
row376	946.5785	5.01	0.023534	2.3021	"946.5785_5.01"
row377	991.6332	5.46	0.024324	2.2889	"991.6332_5.46"
row378	948.5944	5.29	0.024334	2.2887	"948.5944_5.29"
row379	715.5101	4.85	0.02513	2.2758	"715.5101_4.85"
row380	234.0017	0.62	0.025185	2.2749	"234.0017_0.62"
row381	284.9532	0.57	0.025431	-2.271	"284.9532_0.57"
row382	952.6018	5.39	0.025457	-2.2706	"952.6018_5.39"
row383	412.8287	0.54	0.025612	-2.2681	"412.8287_0.54"
row384	1166.7893	9.93	0.025905	-2.2635	"1166.7893_9.93"
row385	901.5984	5.46	0.026359	-2.2565	"901.5984_5.46"
row386	1077.529	5.05	0.02662	-2.2525	"1077.529_5.05"
row387	920.6755	5.77	0.026939	2.2476	"920.6755_5.77"
row388	197.8072	0.5	0.028244	-2.2283	"197.8072_0.5"
row389	199.8042	0.5	0.028285	-2.2277	"199.8042_0.5"
row390	1175.7901	9.93	0.028849	-2.2196	"1175.7901_9.93"
row391	204.933	0.56	0.030558	-2.1959	"204.933_0.56"
row392	145.062	0.56	0.03056	2.1959	"145.062_0.56"
row393	1126.5411	5.1	0.031045	2.1894	"1126.5411_5.1"
row394	969.5853	5.46	0.031416	-2.1845	"969.5853_5.46"
row395	968.5814	5.46	0.031626	-2.1817	"968.5814_5.46"
row396	968.5722	5.17	0.032192	-2.1743	"968.5722_5.17"
row397	1172.5442	5.47	0.032433	-2.1712	"1172.5442_5.47"
row398	773.5307	4.95	0.032866	2.1657	"773.5307_4.95"
row399	1072.8026	9.94	0.033032	-2.1636	"1072.8026_9.94"
row400	477.2798	1.1	0.033378	2.1592	"477.2798_1.1"
row401	795.5662	5.09	0.033403	2.1589	"795.5662_5.09"
row402	902.8355	9.93	0.034316	-2.1476	"902.8355_9.93"
row403	186.0432	0.58	0.03491	-2.1404	"186.0432_0.58"
row404	841.5803	4.89	0.036019	2.1272	"841.5803_4.89"
row405	777.5627	5.39	0.037032	2.1155	"777.5627_5.39"
row406	878.5916	5.01	0.037535	2.1098	"878.5916_5.01"
row407	195.8103	0.5	0.037583	-2.1092	"195.8103_0.5"
row408	770.5699	5.17	0.037929	-2.1053	"770.5699_5.17"
row409	91.0262	0.58	0.037981	-2.1048	"91.0262_0.58"
row410	714.5071	4.85	0.038137	2.103	"714.5071_4.85"
row411	436.2807	1.45	0.038353	2.1006	"436.2807_1.45"
row412	746.552	4.02	0.038909	2.0945	"746.552_4.02"
row413	292.9868	0.57	0.039578	-2.0872	"292.9868_0.57"
row414	747.5483	4.02	0.042412	2.0575	"747.5483_4.02"
row415	482.7934	0.54	0.045104	2.0308	"482.7934_0.54"
row416	273.1696	0.64	0.045153	2.0303	"273.1696_0.64"
row417	131.0134	0.61	0.047051	-2.0123	"131.0134_0.61"
row418	278.2182	1.75	0.047217	-2.0107	"278.2182_1.75"
row419	306.9249	0.56	0.047674	2.0065	"306.9249_0.56"
row420	1025.8044	9.93	0.04782	-2.0052	"1025.8044_9.93"
row421	879.5951	5.01	0.049036	1.9941	"879.5951_5.01"
row422	752.5552	5.44	0.049727	-1.9879	"752.5552_5.44"
row423	947.5828	5.01	0.050125	1.9844	"947.5828_5.01"
row424	306.0759	0.56	0.050201	1.9837	"306.0759_0.56"
row425	810.5649	4.87	0.050404	1.982	"810.5649_4.87"
row426	858.6781	5.78	0.051138	1.9755	"858.6781_5.78"
row427	276.0784	0.57	0.05157	1.9718	"276.0784_0.57"
row428	208.0019	0.63	0.052528	1.9636	"208.0019_0.63"
row429	687.543	4.47	0.056983	1.9271	"687.543_4.47"
row430	829.6494	5.45	0.057725	1.9213	"829.6494_5.45"
row431	951.5262	4.48	0.058264	1.9171	"951.5262_4.48"
row432	1036.5606	5.17	0.058628	-1.9143	"1036.5606_5.17"
row433	237.1072	0.63	0.059459	-1.9079	"237.1072_0.63"
row434	1171.529	5.19	0.061974	-1.889	"1171.529_5.19"
row435	833.6005	5.16	0.062242	-1.887	"833.6005_5.16"
row436	807.5972	5.41	0.062838	1.8827	"807.5972_5.41"
row437	1037.5724	5.47	0.065056	-1.8667	"1037.5724_5.47"
row438	908.6067	5.37	0.067002	1.8531	"908.6067_5.37"
row439	290.9478	10.0	0.069057	-1.8391	"290.9478_10"
row440	908.5646	4.91	0.069997	1.8328	"908.5646_4.91"
row441	479.3173	2.69	0.071598	-1.8222	"479.3173_2.69"
row442	951.608	5.39	0.071649	1.8219	"951.608_5.39"
row443	356.0207	0.62	0.072019	1.8195	"356.0207_0.62"
row444	1022.528	4.49	0.072148	-1.8187	"1022.528_4.49"
row445	1019.5165	4.47	0.073219	1.8117	"1019.5165_4.47"
row446	521.9129	9.94	0.075126	-1.7996	"521.9129_9.94"
row447	1036.5699	5.47	0.075634	-1.7965	"1036.5699_5.47"
row448	794.8648	9.93	0.076585	-1.7905	"794.8648_9.93"
row449	216.04	0.54	0.077351	1.7858	"216.04_0.54"
row450	238.934	0.56	0.07784	1.7828	"238.934_0.56"
row451	1030.8144	9.93	0.077861	-1.7827	"1030.8144_9.93"
row452	210.0778	0.6	0.079561	-1.7724	"210.0778_0.6"
row453	616.361	1.28	0.080507	1.7668	"616.361_1.28"
row454	926.6668	5.78	0.082041	1.7578	"926.6668_5.78"
row455	976.5917	5.36	0.082565	1.7547	"976.5917_5.36"
row456	776.5584	5.38	0.082929	1.7526	"776.5584_5.38"
row457	657.8882	9.93	0.083159	-1.7513	"657.8882_9.93"
row458	113.0232	0.56	0.085635	1.7372	"113.0232_0.56"
row459	488.9251	0.57	0.08628	-1.7335	"488.9251_0.57"
row460	586.3142	0.88	0.086767	1.7308	"586.3142_0.88"
row461	882.6206	5.39	0.090118	1.7124	"882.6206_5.39"
row462	821.5765	5.17	0.091243	-1.7064	"821.5765_5.17"
row463	903.8397	9.94	0.091713	-1.7038	"903.8397_9.94"
row464	486.9136	0.57	0.092309	-1.7007	"486.9136_0.57"
row465	355.0174	0.62	0.0926	1.6991	"355.0174_0.62"
row466	420.9228	0.57	0.092722	-1.6985	"420.9228_0.57"
row467	856.6739	5.46	0.092846	1.6978	"856.6739_5.46"
row468	1014.566	5.01	0.094057	1.6915	"1014.566_5.01"
row469	920.5633	4.85	0.094314	1.6901	"920.5633_4.85"
row470	811.5684	4.87	0.095193	1.6856	"811.5684_4.87"
row471	970.8229	9.93	0.095416	-1.6844	"970.8229_9.93"
row472	125.0945	0.61	0.095924	-1.6818	"125.0945_0.61"
row473	638.8364	0.56	0.097676	-1.6729	"638.8364_0.56"
row474	478.2931	1.35	0.098002	-1.6712	"478.2931_1.35"
row475	826.8523	9.93	0.10401	-1.6416	"826.8523_9.93"
row476	723.5158	5.01	0.10564	1.6339	"723.5158_5.01"
row477	124.0066	0.54	0.10615	1.6314	"124.0066_0.54"
row478	894.6629	5.72	0.10685	1.6281	"894.6629_5.72"
row479	355.2255	1.01	0.10688	-1.628	"355.2255_1.01"
row480	857.6746	5.77	0.10812	1.6222	"857.6746_5.77"
row481	883.6235	5.39	0.10813	1.6221	"883.6235_5.39"
row482	803.5638	4.73	0.10908	1.6177	"803.5638_4.73"
row483	452.7052	0.53	0.10934	-1.6165	"452.7052_0.53"
row484	928.8347	9.93	0.11125	-1.6077	"928.8347_9.93"
row485	904.5755	4.87	0.11127	-1.6076	"904.5755_4.87"
row486	878.5138	5.29	0.11182	1.6051	"878.5138_5.29"
row487	277.2162	1.75	0.11463	-1.5925	"277.2162_1.75"
row488	873.5586	4.73	0.11775	1.5787	"873.5586_4.73"
row489	805.5697	4.73	0.11778	1.5786	"805.5697_4.73"
row490	209.0754	0.6	0.1201	-1.5686	"209.0754_0.6"
row491	432.8663	0.55	0.1202	1.5682	"432.8663_0.55"
row492	294.0025	0.57	0.12306	-1.556	"294.0025_0.57"
row493	529.3368	0.82	0.12314	1.5557	"529.3368_0.82"
row494	866.626	5.36	0.12407	1.5518	"866.626_5.36"
row495	329.2465	2.19	0.12634	1.5424	"329.2465_2.19"
row496	892.6421	5.66	0.12682	1.5404	"892.6421_5.66"
row497	810.5271	5.28	0.13008	1.5271	"810.5271_5.28"
row498	804.5669	4.73	0.13126	1.5224	"804.5669_4.73"
row499	1021.525	4.49	0.13202	-1.5194	"1021.525_4.49"
row500	771.5727	5.16	0.13225	-1.5185	"771.5727_5.16"
row501	1127.5457	5.1	0.13416	1.5109	"1127.5457_5.1"
row502	993.6488	5.77	0.13461	1.5092	"993.6488_5.77"
row503	700.5276	5.39	0.13462	-1.5091	"700.5276_5.39"
row504	719.534	3.92	0.13662	-1.5014	"719.534_3.92"
row505	722.5124	5.01	0.13703	1.4997	"722.5124_5.01"
row506	802.5605	4.73	0.1391	1.4918	"802.5605_4.73"
row507	444.673	0.53	0.14093	-1.4849	"444.673_0.53"
row508	750.5438	5.42	0.14273	-1.4781	"750.5438_5.42"
row509	591.9042	9.94	0.14378	-1.4742	"591.9042_9.94"
row510	1093.7922	9.93	0.14516	-1.469	"1093.7922_9.93"
row511	1104.5559	5.46	0.14738	-1.4609	"1104.5559_5.46"
row512	562.8978	9.97	0.15166	-1.4454	"562.8978_9.97"
row513	356.8482	0.54	0.15173	1.4452	"356.8482_0.54"
row514	524.3323	1.36	0.15278	-1.4414	"524.3323_1.36"
row515	1076.5245	5.05	0.15301	-1.4406	"1076.5245_5.05"
row516	1174.7845	9.94	0.15319	-1.44	"1174.7845_9.94"
row517	566.336	1.02	0.15878	-1.4205	"566.336_1.02"
row518	1098.5085	4.65	0.16061	1.4142	"1098.5085_4.65"
row519	422.8358	0.54	0.16662	1.394	"422.8358_0.54"
row520	502.6316	0.53	0.16688	-1.3931	"502.6316_0.53"
row521	884.5433	4.47	0.16692	1.393	"884.5433_4.47"
row522	454.7016	0.53	0.16923	-1.3853	"454.7016_0.53"
row523	865.6151	5.26	0.17261	1.3743	"865.6151_5.26"
row524	748.5286	5.05	0.17628	1.3625	"748.5286_5.05"
row525	1017.8148	9.94	0.17652	-1.3618	"1017.8148_9.94"
row526	678.506	0.53	0.17761	-1.3583	"678.506_0.53"
row527	1167.7917	9.93	0.1779	-1.3574	"1167.7917_9.93"
row528	1144.5122	5.05	0.18266	-1.3425	"1144.5122_5.05"
row529	353.2094	1.24	0.18283	-1.342	"353.2094_1.24"
row530	544.8765	0.56	0.18409	-1.3381	"544.8765_0.56"
row531	528.3091	1.01	0.18559	1.3335	"528.3091_1.01"
row532	819.5361	5.43	0.18635	-1.3312	"819.5361_5.43"
row533	1107.8025	9.93	0.18704	-1.3291	"1107.8025_9.93"
row534	522.6901	0.53	0.1905	-1.3186	"522.6901_0.53"
row535	872.5533	4.73	0.19512	1.3049	"872.5533_4.73"
row536	776.5911	4.96	0.19547	1.3039	"776.5911_4.96"
row537	794.4228	0.53	0.19556	1.3036	"794.4228_0.53"
row538	1044.5759	5.36	0.197	1.2994	"1044.5759_5.36"
row539	957.8175	9.93	0.19765	-1.2974	"957.8175_9.93"
row540	743.5416	5.28	0.19794	1.2966	"743.5416_5.28"
row541	940.55	5.05	0.19879	-1.2941	"940.55_5.05"
row542	83.0288	0.57	0.19934	1.2925	"83.0288_0.57"
row543	180.9722	9.94	0.20114	-1.2873	"180.9722_9.94"
row544	996.8221	9.93	0.20184	-1.2853	"996.8221_9.93"
row545	658.8891	9.93	0.20444	-1.2779	"658.8891_9.93"
row546	544.0207	0.62	0.21	1.2622	"544.0207_0.62"
row547	605.4039	3.52	0.21024	-1.2615	"605.4039_3.52"
row548	494.91	9.97	0.21026	-1.2615	"494.91_9.97"
row549	266.0708	0.59	0.21148	-1.2581	"266.0708_0.59"
row550	1031.5256	4.66	0.2122	1.2561	"1031.5256_4.66"
row551	827.625	5.07	0.21336	1.2529	"827.625_5.07"
row552	280.8323	0.53	0.21379	1.2517	"280.8323_0.53"
row553	1065.8123	9.93	0.21701	-1.2429	"1065.8123_9.93"
row554	303.232	2.09	0.21744	1.2417	"303.232_2.09"
row555	92.026	0.62	0.21987	-1.2351	"92.026_0.62"
row556	112.9847	9.96	0.22011	-1.2344	"112.9847_9.96"
row557	179.0533	0.56	0.22126	1.2314	"179.0533_0.56"
row558	637.5872	6.07	0.22167	1.2303	"637.5872_6.07"
row559	154.0612	0.61	0.22644	1.2175	"154.0612_0.61"
row560	253.2159	2.01	0.22675	-1.2167	"253.2159_2.01"
row561	884.6199	5.39	0.22923	-1.2102	"884.6199_5.39"
row562	589.9006	9.94	0.23171	-1.2038	"589.9006_9.94"
row563	834.8482	9.93	0.23296	-1.2005	"834.8482_9.93"
row564	495.9146	9.98	0.2361	-1.1924	"495.9146_9.98"
row565	843.6562	5.64	0.2364	1.1916	"843.6562_5.64"
row566	525.3325	1.36	0.23793	-1.1877	"525.3325_1.36"
